id,eixo,objetivo,foco_estrategico,acao,responsavel,prazo_categoria,prazo_qualificador,data_limite,indicador,meta,recursos,status,percentual_execucao,data_atualizacao,evidencia,observacoes,campus
COMP-13,Compras,,,"Criar Grupo de Trabalho para desenvolver solução que permita a integração, de forma sistemática, das informações de patrimônio, almoxarifado e compras","PROTIC, PROPA",Curto,,,Solução implementada no prazo estabelecido,,,Não iniciada,0,,,PDF p.52,Todos
COMP-14,Compras,,,"Capacitar, no mínimo, 1 (um) servidor de cada área demandante acerca das Licitações Sustentáveis","DIRAD, PROGEPE",Curtíssimo,,,100%,,,Não iniciada,0,,,PDF p.53,Todos
COMP-15,Compras,,,"Realizar palestras, voltadas para os gestores e servidores da área de compras, com a temática das c ontratações sustentáveis","DIRAD, PROGEPE",Curto,,,100% dos servidores convidados,,,Não iniciada,0,,,PDF p.53,Todos
COMP-16,Compras,,,Criar comissão para realização da campanha,Reitoria,Curtíssimo,,,Portaria publicada no prazo estabelecido,,,Não iniciada,0,,,PDF p.53,Todos
COMP-17,Compras,,,Elaborar peças virtuais e cartazes visando à conscientização do público interno,Comissão designada,Curtíssimo,,,Peças divulgadas no prazo estabelecido,,,Não iniciada,0,,,PDF p.53,Todos
AGU-01,Águas e Efluentes,,,Medir e acompanhar diariamente o uso de água nas unidades da UFSB,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,contínuo,,Protocolo de medição diária executado. Dados diários gerados.,,,Não iniciada,0,,,PDF p.58,Todos
AGU-02,Águas e Efluentes,,,Instalar sistemas de medição individualizado,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curto a Médio,,,Quantificação do uso mensal de água na unidade universitária (m³ mês-1),,,Não iniciada,0,,,PDF p.58,Todos
AGU-03,Águas e Efluentes,,,Adquirir equipamentos de medição que possuam transferência de dados por telemetria e protocolo de comunicação aberto,"DINFRA, DIRAD e DIRPLAN",Curto a Médio,,,100 % dos equipamentos de medição possuam a tecnologia em até 5 anos.,,,Não iniciada,0,,,PDF p.58,Todos
AGU-04,Águas e Efluentes,,,"Realizar análises periódicas para verificar a potabilidade da água servida conforme a Portaria de Consolidação nº 5, de 28 de setembro de 2017, Capítulo V, Seção 2, Do Controle e da Vigilância da Qualidade da Água para Consumo Humano e seu Padrão de Potabilidade. Detalhes no Apêndice III.1.","Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,Testes periódicos realizados,,,Não iniciada,0,,,PDF p.58,Todos
AGU-05,Águas e Efluentes,,,Calibrar periodicamente os equipamentos de medição conforme orientações contidas no Apêndice III.2.,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi com auxílio das Coordenações dos Laboratórios",Curtíssimo,periódico,,100% dos equipamentos calibrados,,,Não iniciada,0,,,PDF p.59,Todos
AGU-06,Águas e Efluentes,,,Prover a construção de laboratórios para realizar as calibrações dos equipamentos de medição que atenda os critérios estabelecidos pela ISO 17025 (Vide Apêndice III.3 para a descrição de equipamentos).,PROPA com apoio dos Conselhos Gestores dos Campi e Unidades Acadêmicas,Médio a Longo,,,100% das instalações concluídas e operantes,,,Não iniciada,0,,,PDF p.59,Todos
AGU-07,Águas e Efluentes,,,Construir laboratórios para realização das análises para monitoramento da qualidade da água (Vide Apêndice III.4 para a descrição de equipamentos).,PROPA com apoio dos Conselhos Gestores dos Campi e Unidades Acadêmicas,Médio a Longo,,,100% das instalações concluídas e operantes,,,Não iniciada,0,,,PDF p.59,Todos
AGU-08,Águas e Efluentes,,,"Caracterizar a unidades existentes com base nas suas tipologias (prédios administrativos, laboratórios, salas de aula etc.) de uso predominantes.","Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo a Curto,,,100% das unidades caracterizadas,,,Não iniciada,0,,,PDF p.59,Todos
AGU-09,Águas e Efluentes,,,"Desenvolver indicadores ambientais confiáveis para a gestão da água nos campi. Para isto, sugere-se a metodologia de processamento e análise de dados para melhor gestão da água em campus universitário desenvolvida por Brito et al. (2020)","Grupos de Pesquisa com expertise no tema e DINFRA, com apoio Diretoria de Sistemas e Conteúdos Digitais (PROTIC)",Curto,,,Estudos realizados. Indicadores desenvolvidos sendo utilizados.,,,Não iniciada,0,,,PDF p.59,Todos
AGU-10,Águas e Efluentes,,,"Implementar e manter um sistema computacional para auxiliar a gestão do recurso. A ferramenta deve gerar gráficos e disponibilizar os dados para acesso remoto, sugere-se o Aguapura Vianet10",Diretoria de Sistemas e Conteúdos Digitais (PROTIC) com apoio da ASSUS e DINFRA,Curtíssimo,,,Sistema instalado no prazo estabelecido,,,Não iniciada,0,,,PDF p.59,Todos
AGU-11,Águas e Efluentes,,,Cadastrar as informações sobre os sistemas hidrossanitários em banco de dados. Sugere-se utilizar o banco de dados desenvolvido para o CJA por Carvalho et al. (2020) (Vide Apêndice III.5).,"Diretoria de Sistemas e Conteúdos Digitais (PROTIC), Coordenação de Manutenção (DINFRA)",Curtíssimo,permanente,,100% dos sistemas hidrossanitários cadastrados no SIGS-UFSB,,,Não iniciada,0,,,PDF p.60,Todos
AGU-12,Águas e Efluentes,,,Avaliar periodicamente as instalações hidráulicas dos campi e registrar as informações no banco de dados.,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,100% das instalações hidráulicas avaliadas e com informações registradas no SIGS-UFSB,,,Não iniciada,0,,,PDF p.60,Todos
